name,slug,category,description,image_url,tags,is_active,barcode,sku
Coriander Bunch 100g,coriander-bunch-100g,Produce,Fresh coriander leaves (dhania).,/uploads/products/coriander.jpg,india|pakistan|bangladesh|produce,true,8902001000074,SKU-CORI-100
Coriander Powder 200g,coriander-powder-200g,Pantry,Ground coriander — base of South Asian spice mixes.,/uploads/products/coriander-powder.jpg,india|pakistan|bangladesh|spice|pantry,true,8902001000032,SKU-DHANIA-200
Cornflour 500g,cornflour-500g,Pantry,Corn starch for thickening curries and gravies.,/uploads/products/cornflour.jpg,india|pakistan|pantry,true,8902001000025,SKU-CORN-500
Couscous 1kg,couscous-1kg,Pantry,Medium couscous for stews and Maghrebi plates.,/uploads/products/couscous.jpg,arabic|grains|pantry,true,8902001000008,SKU-COUS-1
Cumin Seeds 200g,cumin-seeds-200g,Pantry,Whole jeera for tempering and spice blends.,/uploads/products/cumin.jpg,india|pakistan|bangladesh|arabic|spice|pantry,true,8902001000031,SKU-JEERA-SEED-200
Dried Fava Beans 1kg,dried-fava-beans-1kg,Pantry,Ful medames staple — Egyptian and Levantine classic.,/uploads/products/fava-beans.jpg,arabic|pulses|pantry,true,8902001000018,SKU-FAVA-1
Espresso Ground Coffee 250g,espresso-ground-coffee-250g,Beverages,Medium-dark espresso grind.,/uploads/products/espresso-coffee.jpg,arabic|coffee|beverages,true,8902001000163,SKU-ESPCOF-250
Fabric Softener 1L,fabric-softener-1l,Household,Fresh-scent fabric softener.,/uploads/products/fabric-softener.jpg,household|laundry,true,8902001000172,SKU-SOFT-1
Fenugreek Seeds 200g,fenugreek-seeds-200g,Pantry,"Methi seeds for pickles, dals, and spice blends.",/uploads/products/fenugreek-seeds.jpg,india|pakistan|bangladesh|spice|pantry,true,8902001000038,SKU-METHI-200
Free Range Eggs (12),free-range-eggs-12,Dairy & Eggs,Box of 12 free-range eggs.,/uploads/products/eggs.jpg,india|pakistan|bangladesh|arabic|eggs,true,8902001000095,SKU-EGGS-12
Free Range Eggs (18),free-range-eggs-18,Dairy & Eggs,Family pack free-range eggs.,/uploads/products/eggs.jpg,india|pakistan|bangladesh|arabic|eggs,true,8902001000167,SKU-EGGS-18
Free Range Eggs (6),free-range-eggs-6,Dairy & Eggs,Half-dozen free-range eggs.,/uploads/products/eggs.jpg,india|pakistan|bangladesh|arabic|eggs,true,8902001000166,SKU-EGGS-6
Freekeh 500g,freekeh-500g,Pantry,Roasted green wheat — classic Arabic grain.,/uploads/products/freekeh.jpg,arabic|grains|pantry,true,8902001000007,SKU-FREEKEH-500
Fresh Dates 400g,fresh-dates-400g,Produce,Soft fresh dates for snacking.,/uploads/products/fresh-dates.jpg,arabic|fruit|dates,true,8902001000149,SKU-FDATE-400
Fresh Ginger 500g,fresh-ginger-500g,Produce,Fresh ginger root for pastes and teas.,/uploads/products/ginger.jpg,india|pakistan|bangladesh|produce,true,8902001000072,SKU-GINGER-500
Frozen Chicken Breast 1kg,frozen-chicken-breast-1kg,Meat & Poultry,Frozen boneless halal chicken breast.,/uploads/products/chicken-breast.jpg,india|pakistan|bangladesh|arabic|chicken|frozen,true,8902001000133,SKU-FCHICK-BR-1
Frozen Chicken Legs 1kg,frozen-chicken-legs-1kg,Meat & Poultry,Frozen halal chicken legs — freezer staple.,/uploads/products/chicken-legs.jpg,india|pakistan|bangladesh|arabic|chicken|frozen,true,8902001000131,SKU-FCHICK-LEG-1
Frozen Chicken Thighs 1kg,frozen-chicken-thighs-1kg,Meat & Poultry,Frozen halal chicken thighs.,/uploads/products/chicken-thighs.jpg,india|pakistan|bangladesh|arabic|chicken|frozen,true,8902001000134,SKU-FCHICK-TH-1
Frozen Chicken Wings 1kg,frozen-chicken-wings-1kg,Meat & Poultry,Frozen halal chicken wings.,/uploads/products/chicken-wings.jpg,india|pakistan|bangladesh|arabic|chicken|frozen,true,8902001000132,SKU-FCHICK-WING-1
Frozen Whole Chicken 1.4kg,frozen-whole-chicken-1-4kg,Meat & Poultry,Frozen whole halal chicken.,/uploads/products/chicken-frozen.jpg,india|pakistan|bangladesh|arabic|chicken|frozen,true,8902001000135,SKU-FCHICK-WH-14
Garam Masala 100g,garam-masala-100g,Pantry,Warm finishing blend for North Indian and Pakistani curries.,/uploads/products/garam-masala.jpg,india|pakistan|spice|pantry,true,8902001000035,SKU-GARAM-100
Garlic 500g,garlic-500g,Produce,Fresh garlic bulbs.,/uploads/products/garlic.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000071,SKU-GARLIC-500
Garlic Naan (4 pack),garlic-naan-4-pack,Pantry,Garlic-topped naan breads.,/uploads/products/garlic-naan.jpg,india|pakistan|bread|pantry,true,8902001000156,SKU-GNAAN-4
Goat Curry Pieces 1kg,goat-curry-pieces-1kg,Meat & Poultry,Halal goat curry cuts — South Asian favourite.,/uploads/products/goat-meat.jpg,bangladesh|india|pakistan|lamb|meat,true,8902001000141,SKU-GOAT-1
Green Beans 500g,green-beans-500g,Produce,Fresh green beans for stir-fry and curries.,/uploads/products/greenBeans.jpg,india|pakistan|bangladesh|produce,true,8902001000153,SKU-GBEANS-500
Green Cardamom 50g,green-cardamom-50g,Pantry,"Whole green cardamom pods for tea, sweets, and rice.",/uploads/products/cardamom.jpg,india|pakistan|bangladesh|arabic|spice|pantry,true,8902001000039,SKU-ELAICHI-50
Green Chillies 200g,green-chillies-200g,Produce,Hot green chillies for tempering and chutneys.,/uploads/products/greenChilli.jpg,india|pakistan|bangladesh|produce,true,8902001000073,SKU-GCHILLI-200
Green Tea 100g,green-tea-100g,Beverages,Light green tea leaves.,/uploads/products/green-tea.jpg,india|bangladesh|arabic|tea|beverages,true,8902001000158,SKU-GTEA-100
Gulab Jamun Mix 500g,gulab-jamun-mix-500g,Pantry,Instant mix for classic gulab jamun sweets.,/uploads/products/gulab-jamun.jpg,india|pakistan|bangladesh|sweets|pantry,true,8902001000115,SKU-GULAB-500
Hilsa (Ilish) Steaks 500g,hilsa-ilish-steaks-500g,Meat & Poultry,Frozen hilsa steaks — Bengali celebration fish.,/uploads/products/fish-hilsa.jpg,bangladesh|fish|meat,true,8902001000067,SKU-HILSA-500
Instant Coffee 100g,instant-coffee-100g,Beverages,Everyday instant coffee granules.,/uploads/products/instant-coffee.jpg,india|pakistan|bangladesh|arabic|coffee,true,8902001000161,SKU-INSTCOF-100
Jaggery (Gur) 500g,jaggery-gur-500g,Pantry,Natural cane jaggery for sweets and winter drinks.,/uploads/products/jaggery.jpg,india|pakistan|bangladesh|sweets|pantry,true,8902001000114,SKU-GUR-500
Jeera Rice 1kg,jeera-rice-1kg,Pantry,Short-grain jeera / kalijeera style rice for Bengali and Bangla kitchens.,/uploads/products/jeera-rice.jpg,bangladesh|india|rice|pantry,true,8902001000004,SKU-JEERA-1
Kashmiri Chilli Powder 200g,kashmiri-chilli-powder-200g,Pantry,"Mild, deep-red Kashmiri chilli for colour without extreme heat.",/uploads/products/kashmiri-chilli.jpg,india|pakistan|spice|pantry,true,8902001000034,SKU-KASH-200
Kenyan Dust Tea 450g,kenyan-dust-tea-450g,Beverages,Fine tea dust popular in Pakistani and Bengali chai.,/uploads/products/kenyan-tea.jpg,pakistan|bangladesh|tea|beverages,true,8902001000101,SKU-TEADUST-450
Labneh 400g,labneh-400g,Dairy & Eggs,Strained yoghurt cheese — Levantine staple.,/uploads/products/labneh.jpg,arabic|dairy,true,8902001000094,SKU-LABNEH-400
Lamb Chops 500g,lamb-chops-500g,Meat & Poultry,Halal lamb chops for grilling.,/uploads/products/lamb-chops.jpg,arabic|pakistan|lamb|meat,true,8902001000139,SKU-LCHOPS-500
Lamb Mince 500g,lamb-mince-500g,Meat & Poultry,Halal lamb mince for kebabs and keema.,/uploads/products/lamb-mince.jpg,arabic|pakistan|india|lamb|meat,true,8902001000140,SKU-LMINCE-500
Lamb Shoulder 1kg,lamb-shoulder-1kg,Meat & Poultry,"Halal lamb shoulder for Mandi, stews, and grills.",/uploads/products/lamb-shoulder.jpg,arabic|pakistan|lamb|meat,true,8902001000064,SKU-LAMB-1
Laundry Detergent 2kg,laundry-detergent-2kg,Household,Everyday laundry detergent powder.,/uploads/products/laundry-detergent.jpg,household|laundry,true,8902001000170,SKU-LAUNDRY-2
Laundry Liquid 1.5L,laundry-liquid-1-5l,Household,Concentrated laundry liquid.,/uploads/products/laundry-liquid.jpg,household|laundry,true,8902001000171,SKU-LAUNLIQ-15
Lemon Squash 750ml,lemon-squash-750ml,Beverages,Tangy lemon squash concentrate.,/uploads/products/lemon-squash.jpg,india|pakistan|bangladesh|beverages,true,8902001000165,SKU-LEMSQ-750
Lettuce Head 1pc,lettuce-head-1pc,Produce,Crisp lettuce for salads and wraps.,/uploads/products/lettuce.jpg,india|pakistan|arabic|produce,true,8902001000151,SKU-LETTUCE-1
Mango Juice 1L,mango-juice-1l,Beverages,Sweet mango drink — South Asian favourite.,/uploads/products/juice.jpg,india|pakistan|bangladesh|beverages,true,8902001000103,SKU-MANGO-1
Mango Pickle 400g,mango-pickle-400g,Pantry,Spicy mango achar — South Asian condiment.,/uploads/products/pickle.jpg,india|pakistan|bangladesh|pickle|pantry,true,8902001000117,SKU-ACHAR-400
Masala Chai Tea Bags (50),masala-chai-tea-bags-50,Beverages,Spiced masala chai tea bags.,/uploads/products/masala-chai.jpg,india|pakistan|tea|beverages,true,8902001000157,SKU-CHAIBAG-50
Masoor Dal 1kg,masoor-dal-1kg,Pantry,Red lentils — quick-cook daal across South Asia.,/uploads/products/masoor-dal.jpg,india|pakistan|bangladesh|dal|pantry,true,8902001000012,SKU-MASOOR-1
Medjool Dates 500g,medjool-dates-500g,Pantry,Soft Medjool dates — Ramadan and Arabic table staple.,/uploads/products/medjool-dates.jpg,arabic|dates|pantry,true,8902001000112,SKU-MEDJ-500
Methi Leaves 200g,methi-leaves-200g,Produce,Fresh fenugreek (methi) leaves for saag.,/uploads/products/methi.jpg,india|pakistan|produce,true,8902001000152,SKU-METHI-L-200
Mint Bunch 100g,mint-bunch-100g,Produce,"Fresh mint for chutney, raita, and tea.",/uploads/products/mint.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000150,SKU-MINT-100
Mixed Vegetable Pickle 400g,mixed-vegetable-pickle-400g,Pantry,Tangy mixed vegetable pickle.,/uploads/products/mixed-pickle.jpg,india|pakistan|pickle|pantry,true,8902001000118,SKU-MIXPICK-400
Moong Dal 1kg,moong-dal-1kg,Pantry,Split yellow mung — light khichdi and Bengali moong daal.,/uploads/products/moong-dal.jpg,india|bangladesh|pakistan|dal|pantry,true,8902001000013,SKU-MOONG-1
Mustard Oil 1L,mustard-oil-1l,Pantry,Pungent mustard oil for Bengali and North Indian cooking.,/uploads/products/oil.jpg,bangladesh|india|oil|pantry,true,8902001000050,SKU-MUSTOIL-1
Mustard Oil 500ml,mustard-oil-500ml,Pantry,Half-litre mustard oil.,/uploads/products/oil.jpg,bangladesh|india|oil|pantry,true,8902001000051,SKU-MUSTOIL-500
Mustard Seeds 200g,mustard-seeds-200g,Pantry,Black mustard seeds for Bengali and South Indian tempering.,/uploads/products/mustard-seeds.jpg,bangladesh|india|spice|pantry,true,8902001000037,SKU-MUSTARD-200
Mutton Curry Pieces 1kg,mutton-curry-pieces-1kg,Meat & Poultry,Halal goat/mutton bone-in curry cuts.,/uploads/products/lamb-mutton.jpg,india|pakistan|bangladesh|lamb|meat,true,8902001000063,SKU-MUTTON-1
Natural Yoghurt 1kg,natural-yoghurt-1kg,Dairy & Eggs,"Thick natural yoghurt for raita, lassi, and marinades.",/uploads/products/yoghurt.jpg,india|pakistan|bangladesh|arabic|dairy,true,8902001000090,SKU-YOG-1
Okra (Bhindi) 500g,okra-bhindi-500g,Produce,Fresh okra for bhindi masala and Bengali dherosh.,/uploads/products/okra.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000076,SKU-OKRA-500
Olive Oil 1L,olive-oil-1l,Pantry,Extra virgin olive oil for Arabic and Mediterranean cooking.,/uploads/products/olive-oil.jpg,arabic|oil|pantry,true,8901001000003,SKU-OIL-1
Orange Blossom Water 250ml,orange-blossom-water-250ml,Pantry,Orange blossom water for Levantine desserts and drinks.,/uploads/products/orange-blossom.jpg,arabic|pantry,true,8902001000122,SKU-OBLOSSOM-250
Orange Juice 1L,orange-juice-1l,Beverages,Chilled orange juice.,/uploads/products/orangeJuice.jpg,india|pakistan|bangladesh|arabic|beverages,true,8902001000164,SKU-OJ-1
Organic Eggs (12),organic-eggs-12,Dairy & Eggs,Organic free-range eggs.,/uploads/products/organic-eggs.jpg,india|pakistan|bangladesh|arabic|eggs,true,8902001000168,SKU-EGGS-ORG-12
Panch Phoron 100g,panch-phoron-100g,Pantry,Bengali five-spice mix for fish and vegetable dishes.,/uploads/products/panch-phoron.jpg,bangladesh|india|spice|pantry,true,8902001000047,SKU-PANCH-100
Paneer 250g,paneer-250g,Dairy & Eggs,Fresh Indian cottage cheese block.,/uploads/products/paneer.jpg,india|pakistan|dairy,true,8902001000092,SKU-PANEER-250
Paneer 500g,paneer-500g,Dairy & Eggs,Family pack fresh paneer.,/uploads/products/paneer.jpg,india|pakistan|dairy,true,8902001000093,SKU-PANEER-500
Papadum Plain (200g),papadum-plain-200g,Pantry,Plain urad papad for frying or roasting.,/uploads/products/papadum.jpg,india|pakistan|pantry,true,8902001000119,SKU-PAPAD-200
Pearl Barley 500g,pearl-barley-500g,Pantry,Pearl barley for soups and grain bowls.,/uploads/products/pearl-barley.jpg,arabic|grains|pantry,true,8902001000154,SKU-BARLEY-500
Pita Bread (6 pack),pita-bread-6-pack,Pantry,Soft pita pockets for wraps and dips.,/uploads/products/pita.jpg,arabic|bread|pantry,true,8902001000110,SKU-PITA-6
Plain Naan (4 pack),plain-naan-4-pack,Pantry,Ready-to-heat plain naan breads.,/uploads/products/plain-naan.jpg,india|pakistan|bread|pantry,true,8902001000111,SKU-NAAN-4
Pomegranate 500g,pomegranate-500g,Produce,Fresh pomegranate — anar for salads and juice.,/uploads/products/pomegranate.jpg,india|pakistan|arabic|fruit,true,8902001000147,SKU-ANAR-500
Pomfret Fish 500g,pomfret-fish-500g,Meat & Poultry,Whole pomfret for Bengali and coastal curries.,/uploads/products/fish-pomfret.jpg,bangladesh|india|fish|meat,true,8902001000142,SKU-POMF-500
Potatoes 2kg,potatoes-2kg,Produce,Cooking potatoes for aloo dishes and sides.,/uploads/products/potato.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000081,SKU-POTATO-2
Prawns 500g,prawns-500g,Meat & Poultry,Shelled prawns for seafood dishes.,/uploads/products/fish-prawns.jpg,bangladesh|india|arabic|seafood|fish,true,8902001000144,SKU-PRAWN-500
Pure Desi Ghee 1kg,pure-desi-ghee-1kg,Pantry,"Clarified butter for roti, sweets, and rich curries.",/uploads/products/ghee.jpg,india|pakistan|bangladesh|dairy|pantry,true,8902001000053,SKU-GHEE-1
Pure Desi Ghee 500g,pure-desi-ghee-500g,Pantry,Half-kilo desi ghee.,/uploads/products/ghee.jpg,india|pakistan|bangladesh|dairy|pantry,true,8902001000054,SKU-GHEE-500
Red Apples 1kg,red-apples-1kg,Produce,Crisp red apples.,/uploads/products/apple.jpg,india|pakistan|bangladesh|arabic|fruit,true,8902001000146,SKU-APPLE-1
Red Chilli Powder 200g,red-chilli-powder-200g,Pantry,Hot ground chilli for everyday cooking.,/uploads/products/chilli.jpg,india|pakistan|bangladesh|spice|pantry,true,8902001000033,SKU-CHILLI-200
Red Kidney Beans 1kg,red-kidney-beans-1kg,Pantry,Rajma beans for Punjabi-style curry.,/uploads/products/kidney-beans.jpg,india|pakistan|pulses|pantry,true,8902001000019,SKU-RAJMA-1
Rice Flour 1kg,rice-flour-1kg,Pantry,"Fine rice flour for sweets, snacks, and gluten-free batter.",/uploads/products/rice-flour.jpg,india|bangladesh|flour|pantry,true,8902001000023,SKU-RFLOUR-1
Rohu Fish Steaks 1kg,rohu-fish-steaks-1kg,Meat & Poultry,Freshwater rohu steaks for Bengali fish curry.,/uploads/products/fish-rohu.jpg,bangladesh|india|fish|meat,true,8902001000068,SKU-ROHU-1
Rooh Afza Style Squash 800ml,rooh-afza-style-squash-800ml,Beverages,Floral concentrate squash for summer drinks.,/uploads/products/rooh-afza.jpg,pakistan|india|bangladesh|beverages,true,8902001000105,SKU-ROOH-800
Rose Syrup 500ml,rose-syrup-500ml,Beverages,Rose sharbat syrup for drinks and desserts.,/uploads/products/rose-syrup.jpg,india|pakistan|bangladesh|arabic|beverages,true,8902001000104,SKU-ROSE-500
Rose Water 250ml,rose-water-250ml,Pantry,Food-grade rose water for desserts and Arabic sweets.,/uploads/products/rose-water.jpg,arabic|india|pakistan|pantry,true,8902001000121,SKU-ROSEW-250
Salmon Fillets 400g,salmon-fillets-400g,Meat & Poultry,Fresh salmon fillets.,/uploads/products/fish-salmon.jpg,arabic|fish|meat,true,8902001000143,SKU-SALM-400
Sella Basmati Rice 5kg,sella-basmati-rice-5kg,Pantry,"Parboiled sella basmati — fluffy grains, biryani favourite.",/uploads/products/sella-rice.jpg,pakistan|india|rice|pantry,true,8902001000003,SKU-SELLA-5
Stain Remover Spray 500ml,stain-remover-spray-500ml,Household,Pre-wash laundry stain remover.,/uploads/products/stain-remover.jpg,household|laundry,true,8902001000173,SKU-STAIN-500
Suji / Semolina 1kg,suji-semolina-1kg,Pantry,"Coarse semolina for halwa, upma, and rava dosa.",/uploads/products/suji.jpg,india|pakistan|bangladesh|flour|pantry,true,8902001000024,SKU-SUJI-1
Sumac 100g,sumac-100g,Pantry,Tangy ground sumac for salads and grilled meats.,/uploads/products/sumac.jpg,arabic|spice|pantry,true,8902001000045,SKU-SUMAC-100
Sunflower Oil 2L,sunflower-oil-2l,Pantry,Neutral cooking oil for frying and everyday use.,/uploads/products/sunflower-oil.jpg,india|pakistan|bangladesh|oil|pantry,true,8902001000052,SKU-SUNOIL-2
Tahini 400g,tahini-400g,Pantry,"Sesame paste for hummus, sauces, and Levantine dishes.",/uploads/products/tahini.jpg,arabic|pantry,true,8902001000055,SKU-TAHINI-400
Tamarind Paste 400g,tamarind-paste-400g,Pantry,Ready tamarind paste for chutneys and curries.,/uploads/products/tamarind-paste.jpg,india|bangladesh|pantry,true,8902001000123,SKU-IMLI-400
Tomatoes 1kg,tomatoes-1kg,Produce,Ripe tomatoes for curries and salads.,/uploads/products/tomato.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000080,SKU-TOMATO-1
Toor Dal 1kg,toor-dal-1kg,Pantry,Split pigeon peas — everyday Indian and Pakistani daal.,/uploads/products/toor-dal.jpg,india|pakistan|dal|pantry,true,8902001000010,SKU-TOOR-1
Toor Dal 5kg,toor-dal-5kg,Pantry,Family pack split pigeon peas.,/uploads/products/toor-dal.jpg,india|pakistan|dal|pantry,true,8902001000011,SKU-TOOR-5
Turkish Coffee 200g,turkish-coffee-200g,Beverages,Finely ground Turkish-style coffee.,/uploads/products/turkish-coffee.jpg,arabic|coffee|beverages,true,8902001000160,SKU-TURKCOF-200
Turmeric Powder 200g,turmeric-powder-200g,Pantry,Bright ground turmeric for curries and marinades.,/uploads/products/turmeric.jpg,india|pakistan|bangladesh|spice|pantry,true,8902001000030,SKU-HALDI-200
Urad Dal 1kg,urad-dal-1kg,Pantry,"Black gram — dosa, idli, and Punjabi daal makhani base.",/uploads/products/urad-dal.jpg,india|pakistan|dal|pantry,true,8902001000015,SKU-URAD-1
